#Rank	Path	LengthInKmers	Flows
0	74000000	1211	2
2	101000002	960	2
1	74000001	1151	3
1	75000001	1093	2
2	102000002	1291	2
0	75000000	1211	3
2	103000002	955	2
3	56000003	2438	3
2	104000002	951	2
1	76000001	1404	3
3	57000003	1366	2
1	77000001	1090	2
2	105000002	948	3
3	58000003	1363	2
0	76000000	1291	3
2	106000002	945	2
2	107000002	943	2
1	78000001	1085	3
2	108000002	943	2
0	77000000	1182	3
1	79000001	1078	2
3	59000003	1434	3
2	109000002	939	2
1	80000001	1070	2
2	110000002	938	2
1	81000001	1066	2
2	111000002	938	2
3	60000003	1425	3
2	112000002	936	2
0	78000000	1383	3
2	113000002	935	3
1	82000001	1452	3
0	80000000	1164	2
3	61000003	1360	3
2	114000002	913	3
1	83000001	1056	3
0	81000000	1163	3
2	115000002	905	2
0	82000000	1161	2
2	116000002	904	2
1	84000001	1052	3
2	117000002	903	2
0	83000000	1144	2
1	85000001	1050	2
1	86000001	1139	2
0	84000000	1452	3
1	87000001	1072	3
2	118000002	1391	3
2	119000002	899	2
0	85000000	1227	3
1	88000001	1395	3
0	86000000	1142	2
2	120000002	907	3
1	89000001	1454	3
2	121000002	1434	3
3	62000003	4210	3
2	122000002	887	2
2	123000002	872	2
3	63000003	1336	2
0	87000000	1507	3
2	124000002	876	3
3	64000003	1336	2
0	88000000	1133	2
1	90000001	1395	3
2	125000002	866	2
0	89000000	1113	2
1	91000001	1020	2
3	66000003	1335	2
2	126000002	1044	2
1	92000001	1016	2
2	127000002	859	2
2	128000002	853	2
1	93000001	1015	2
0	90000000	1138	3
0	91000000	1107	2
1	94000001	1013	2
3	67000003	1503	3
2	129000002	897	3
1	95000001	1011	2
2	130000002	850	2
2	132000002	849	2
3	68000003	1341	2
0	92000000	1082	3
1	96000001	1321	3
2	133000002	868	3
0	93000000	1077	3
3	69000003	1308	3
2	134000002	996	2
1	97000001	996	3
2	135000002	846	2
2	136000002	846	2
1	98000001	1070	3
3	70000003	1303	3
2	137000002	846	2
0	94000000	1801	3
1	99000001	987	2
3	72000003	1294	2
0	95000000	1045	2
2	138000002	910	3
1	100000001	1009	3
0	96000000	1026	2
2	139000002	843	2
1	101000001	992	2
2	140000002	838	2
0	98000000	1023	2
2	141000002	838	2
