#Rank	Path	LengthInKmers	Flows
2	445000002	416	2
3	302000003	554	2
1	325000001	502	2
2	446000002	416	2
3	303000003	650	2
2	447000002	416	3
0	334000000	1950	3
3	304000003	551	2
2	448000002	414	2
1	326000001	702	3
0	335000000	513	2
1	327000001	501	2
3	305000003	550	2
0	336000000	513	2
2	449000002	617	3
1	328000001	501	2
3	306000003	550	2
2	450000002	413	2
0	337000000	511	2
1	329000001	500	2
0	338000000	511	2
3	308000003	563	2
1	330000001	619	2
0	339000000	510	2
3	309000003	547	2
1	331000001	496	2
3	310000003	547	2
2	451000002	903	3
1	332000001	494	2
3	311000003	547	2
0	340000000	1245	2
2	452000002	663	3
3	312000003	544	2
2	453000002	497	3
1	333000001	1152	2
3	313000003	544	2
2	454000002	406	2
1	334000001	492	2
2	456000002	405	2
3	314000003	561	2
1	335000001	492	3
2	457000002	600	2
1	336000001	488	2
1	337000001	488	2
1	338000001	487	2
2	458000002	626	3
2	459000002	404	2
1	339000001	587	3
2	460000002	401	2
3	315000003	1228	3
2	461000002	400	2
2	462000002	400	2
3	316000003	543	2
3	317000003	543	2
2	463000002	401	3
3	318000003	543	2
2	465000002	398	2
3	319000003	541	2
2	466000002	399	3
2	467000002	397	2
3	320000003	540	2
2	468000002	396	2
2	469000002	394	2
2	470000002	394	2
3	321000003	544	3
2	471000002	394	2
3	322000003	539	2
2	472000002	394	2
2	473000002	394	2
3	323000003	537	2
2	474000002	393	2
0	341000000	2999	3
3	324000003	535	2
0	342000000	508	2
1	340000001	2285	3
2	475000002	393	2
2	476000002	392	2
1	341000001	485	2
3	325000003	536	2
2	477000002	392	2
1	342000001	485	2
3	326000003	533	2
0	343000000	510	3
2	478000002	391	3
1	343000001	484	2
0	344000000	508	2
3	328000003	528	2
2	479000002	420	3
0	345000000	507	2
1	344000001	480	3
0	346000000	507	2
3	329000003	757	3
2	480000002	568	3
0	347000000	507	2
1	345000001	522	2
3	330000003	527	2
0	348000000	506	2
1	346000001	478	2
3	331000003	527	2
0	349000000	514	2
3	332000003	526	2
1	348000001	514	3
0	351000000	503	2
0	352000000	499	2
1	349000001	477	2
3	334000003	524	3
1	350000001	474	2
3	335000003	522	2
0	353000000	513	3
1	351000001	564	2
3	336000003	651	2
1	352000001	471	2
0	354000000	505	3
0	355000000	495	2
1	353000001	500	3
1	354000001	468	2
1	355000001	468	2
3	337000003	861	3
0	356000000	617	3
1	356000001	468	2
3	338000003	512	2
0	357000000	508	3
3	339000003	622	2
1	357000001	677	3
0	358000000	493	2
1	358000001	463	2
0	360000000	488	2
1	359000001	462	2
0	361000000	488	3
1	360000001	460	2
3	340000003	895	3
0	362000000	487	2
0	363000000	487	2
3	341000003	506	2
1	361000001	560	3
2	481000002	2988	3
1	362000001	460	2
3	342000003	506	2
0	364000000	488	3
2	482000002	388	2
3	343000003	504	2
1	363000001	459	2
0	365000000	483	2
2	483000002	520	2
3	344000003	502	2
1	364000001	459	2
2	484000002	385	2
0	366000000	543	3
1	365000001	459	2
2	485000002	479	3
0	367000000	482	2
3	345000003	502	3
1	366000001	459	2
2	486000002	383	2
0	368000000	482	2
3	346000003	500	2
1	367000001	454	2
2	488000002	381	2
0	369000000	480	2
1	368000001	453	2
2	489000002	380	2
0	370000000	480	2
3	347000003	665	3
1	369000001	453	2
2	490000002	607	2
0	371000000	484	3
2	491000002	378	2
3	348000003	501	3
2	492000002	377	2
1	370000001	453	3
0	372000000	477	2
2	493000002	375	2
1	371000001	492	2
2	494000002	375	2
3	349000003	576	3
1	372000001	452	2
2	495000002	375	2
2	496000002	375	2
1	373000001	451	2
3	350000003	498	2
0	373000000	927	3
2	497000002	373	2
3	351000003	497	2
0	374000000	475	2
1	374000001	654	3
2	498000002	374	3
0	375000000	474	2
2	499000002	371	2
1	375000001	450	2
0	376000000	472	2
2	500000002	371	2
1	376000001	449	2
2	501000002	371	2
2	502000002	370	2
1	377000001	448	2
2	503000002	370	2
3	353000003	1180	3
1	378000001	447	2
2	504000002	368	2
0	377000000	725	3
3	354000003	490	2
1	379000001	447	2
2	505000002	366	2
0	378000000	471	2
3	355000003	489	2
2	506000002	366	2
1	380000001	446	2
0	380000000	470	2
2	507000002	366	2
3	356000003	487	2
1	381000001	446	2
0	381000000	469	2
1	382000001	445	2
2	508000002	413	3
2	509000002	544	2
0	382000000	689	2
1	383000001	463	3
0	383000000	468	2
1	384000001	441	2
2	510000002	453	3
0	384000000	468	2
2	511000002	363	2
3	357000003	915	3
0	385000000	462	2
1	385000001	781	3
3	358000003	484	2
2	512000002	545	3
0	386000000	461	2
2	513000002	362	2
0	387000000	458	2
3	359000003	520	3
0	388000000	456	2
1	386000001	443	3
2	514000002	542	2
1	387000001	436	2
3	360000003	483	2
2	515000002	377	2
1	388000001	432	2
3	361000003	482	2
0	389000000	455	3
2	516000002	361	2
1	389000001	432	2
0	390000000	452	2
2	517000002	361	2
0	391000000	451	2
3	362000003	482	3
2	518000002	360	2
0	392000000	451	2
2	519000002	360	2
3	363000003	479	2
1	390000001	448	3
2	521000002	359	2
0	393000000	450	2
1	391000001	431	2
2	522000002	358	2
0	394000000	450	2
1	392000001	431	2
2	523000002	357	2
2	524000002	357	2
1	393000001	430	2
2	525000002	357	2
0	395000000	573	3
2	526000002	356	2
0	396000000	449	2
2	527000002	356	2
2	528000002	354	2
3	364000003	1270	3
2	529000002	353	2
1	394000001	1160	3
3	365000003	476	2
1	395000001	430	2
2	530000002	354	3
1	396000001	430	2
3	366000003	476	2
2	531000002	352	2
1	397000001	429	2
3	367000003	475	2
2	532000002	427	2
1	398000001	428	2
2	533000002	350	2
3	368000003	475	2
0	397000000	1146	3
1	399000001	425	2
2	534000002	350	2
0	398000000	447	2
1	400000001	423	2
3	369000003	473	2
2	535000002	349	2
0	399000000	446	2
1	401000001	423	2
3	370000003	469	2
0	400000000	445	2
1	402000001	422	2
2	536000002	457	3
3	371000003	468	2
0	401000000	444	2
1	403000001	421	2
2	537000002	348	2
3	372000003	467	2
0	402000000	444	2
3	374000003	466	2
2	538000002	555	3
3	375000003	465	2
0	403000000	504	3
2	539000002	345	2
3	376000003	464	2
2	540000002	344	2
0	404000000	441	2
2	541000002	344	2
3	377000003	463	2
0	405000000	441	2
2	542000002	342	2
3	378000003	463	2
0	406000000	440	2
2	543000002	342	2
3	379000003	462	2
0	407000000	439	2
2	544000002	342	2
0	408000000	439	2
2	545000002	341	2
3	380000003	475	2
2	546000002	340	2
0	409000000	437	2
3	381000003	458	2
0	410000000	437	2
2	547000002	411	3
2	548000002	338	2
0	411000000	435	2
3	382000003	582	2
0	412000000	433	2
2	549000002	506	2
3	383000003	456	2
0	413000000	432	2
2	550000002	336	2
0	414000000	432	2
2	551000002	455	3
0	415000000	432	2
2	552000002	336	2
0	416000000	432	2
2	553000002	336	2
3	384000003	715	3
2	554000002	335	2
0	417000000	457	3
2	555000002	376	2
3	385000003	455	2
0	418000000	460	3
3	386000003	455	2
0	419000000	429	2
0	420000000	428	2
0	421000000	427	2
3	387000003	742	3
0	422000000	431	3
3	388000003	453	2
0	423000000	427	2
0	424000000	426	2
0	425000000	426	2
0	426000000	424	2
0	427000000	424	2
3	389000003	716	3
1	404000001	2254	3
0	428000000	422	2
3	390000003	477	2
0	429000000	422	2
1	405000001	419	2
3	391000003	449	2
0	430000000	421	2
1	406000001	419	2
3	392000003	449	2
1	407000001	418	2
1	408000001	417	2
1	409000001	417	2
3	393000003	552	3
0	431000000	876	3
1	410000001	464	2
3	394000003	447	2
1	411000001	416	2
0	432000000	802	2
1	412000001	414	2
0	433000000	417	2
1	413000001	414	2
0	434000000	417	2
3	395000003	949	3
1	414000001	412	2
0	436000000	415	2
0	437000000	415	2
3	397000003	492	3
0	438000000	414	2
3	398000003	442	2
0	439000000	413	2
3	399000003	441	2
0	440000000	413	2
3	400000003	440	2
0	441000000	413	2
3	401000003	440	2
0	442000000	413	2
1	415000001	1235	3
0	444000000	412	2
1	416000001	411	2
0	445000000	459	2
3	402000003	810	3
1	417000001	659	2
0	446000000	412	2
3	403000003	438	2
0	448000000	412	2
1	418000001	419	3
0	449000000	409	2
3	404000003	438	2
1	419000001	410	2
0	450000000	414	2
3	405000003	436	2
1	420000001	409	2
0	451000000	407	2
0	452000000	408	2
3	406000003	504	3
1	421000001	487	2
0	453000000	407	2
3	407000003	433	2
1	422000001	408	2
0	454000000	405	2
0	457000000	404	2
3	408000003	440	3
0	458000000	400	2
3	409000003	430	2
0	459000000	400	2
1	423000001	497	3
3	410000003	429	2
1	424000001	407	2
3	411000003	429	2
0	460000000	587	3
1	426000001	407	2
0	461000000	398	2
1	427000001	406	2
0	462000000	396	2
3	413000003	513	3
1	428000001	406	2
0	463000000	395	2
3	414000003	426	2
1	429000001	404	2
3	415000003	426	2
1	430000001	403	2
0	464000000	395	2
1	431000001	403	2
0	465000000	538	2
3	417000003	425	3
1	432000001	402	2
3	418000003	421	2
1	433000001	401	2
0	466000000	439	3
1	435000001	430	3
0	467000000	649	2
3	419000003	443	3
1	436000001	397	2
0	468000000	392	2
1	437000001	396	2
3	420000003	419	2
1	438000001	393	2
3	421000003	418	2
0	469000000	500	2
1	439000001	393	2
0	470000000	391	2
3	422000003	418	2
1	440000001	393	2
0	471000000	391	2
3	423000003	416	2
0	472000000	390	2
1	441000001	393	2
3	424000003	413	2
0	473000000	390	2
1	442000001	392	2
3	425000003	413	2
1	443000001	390	2
0	474000000	389	2
1	445000001	384	2
0	475000000	389	2
1	446000001	377	2
3	426000003	467	3
0	476000000	388	2
1	447000001	377	2
3	427000003	413	2
0	477000000	388	2
3	428000003	411	2
1	448000001	377	2
0	478000000	387	2
3	429000003	409	2
1	449000001	375	2
0	479000000	387	2
0	482000000	383	2
0	483000000	382	2
3	430000003	687	3
1	450000001	444	2
0	484000000	383	3
3	431000003	432	2
1	451000001	403	2
3	432000003	408	2
1	452000001	373	2
3	433000003	408	2
1	453000001	588	2
3	434000003	406	2
1	454000001	371	2
3	435000003	406	2
1	455000001	370	2
1	456000001	369	2
3	436000003	406	2
1	457000001	369	2
0	485000000	1361	3
3	437000003	405	2
1	459000001	368	2
0	486000000	381	2
1	460000001	369	2
3	438000003	436	3
1	461000001	368	2
0	487000000	420	3
3	439000003	401	2
0	488000000	381	2
3	440000003	401	2
0	489000000	380	2
3	441000003	401	2
1	462000001	723	3
0	490000000	380	2
3	442000003	400	2
1	463000001	365	2
0	491000000	379	2
3	443000003	400	2
1	466000001	363	2
0	492000000	379	2
3	444000003	400	2
1	467000001	375	2
2	556000002	3077	3
0	493000000	539	2
1	468000001	361	2
2	557000002	332	2
3	445000003	439	3
0	494000000	378	2
2	559000002	332	2
3	446000003	399	2
2	560000002	331	2
3	447000003	397	2
0	495000000	678	3
2	561000002	481	2
0	496000000	377	2
1	469000001	717	3
1	470000001	360	2
0	497000000	374	2
2	562000002	342	3
1	471000001	358	2
0	498000000	374	2
3	448000003	546	3
2	563000002	579	2
3	449000003	396	2
0	499000000	375	3
2	565000002	515	3
3	450000003	394	2
0	500000000	374	2
2	566000002	329	2
1	472000001	417	3
0	501000000	373	2
3	451000003	393	2
2	567000002	329	2
1	473000001	356	2
3	452000003	393	2
0	502000000	373	2
1	474000001	355	2
3	453000003	393	2
0	503000000	372	2
2	568000002	330	3
2	569000002	328	2
0	504000000	372	2
1	475000001	718	3
2	570000002	327	2
3	454000003	552	3
2	571000002	326	2
1	476000001	356	3
2	572000002	322	2
3	455000003	391	2
0	505000000	548	3
1	477000001	354	2
2	573000002	322	2
3	456000003	390	2
0	506000000	371	2
1	478000001	353	2
2	575000002	322	2
3	457000003	389	2
0	507000000	370	2
1	479000001	352	2
2	576000002	322	2
3	458000003	389	2
0	508000000	370	2
1	480000001	351	2
2	577000002	322	2
0	510000000	368	2
1	481000001	351	2
2	578000002	320	2
3	459000003	390	3
2	579000002	319	2
1	482000001	350	2
0	511000000	368	2
1	483000001	350	2
0	512000000	384	2
2	580000002	320	3
1	484000001	350	2
3	460000003	388	3
1	485000001	350	2
2	581000002	320	3
3	461000003	387	2
0	513000000	372	3
2	582000002	318	2
1	486000001	348	2
0	514000000	365	2
2	583000002	316	2
1	487000001	348	2
0	515000000	363	2
2	584000002	316	2
1	488000001	347	2
2	585000002	315	2
0	516000000	393	2
1	489000001	347	2
2	586000002	314	2
0	517000000	361	2
1	490000001	346	2
0	518000000	361	2
1	491000001	344	2
2	587000002	506	3
0	519000000	360	2
1	493000001	342	2
2	588000002	313	2
1	494000001	342	2
2	589000002	313	2
3	462000003	1388	3
1	495000001	341	2
2	590000002	310	2
1	496000001	340	2
2	591000002	309	2
0	520000000	732	3
1	497000001	341	2
3	463000003	529	3
2	592000002	352	3
0	522000000	426	2
1	498000001	341	2
2	593000002	309	2
3	464000003	382	2
0	523000000	356	2
1	499000001	339	2
2	594000002	309	2
3	465000003	380	2
2	595000002	309	2
1	500000001	339	2
0	524000000	396	3
3	466000003	380	2
1	501000001	339	2
2	597000002	308	2
3	467000003	378	2
0	526000000	368	2
1	502000001	336	2
2	598000002	308	2
3	468000003	378	2
2	599000002	307	2
1	503000001	335	2
2	600000002	307	2
0	527000000	610	2
3	469000003	377	2
1	504000001	334	2
2	601000002	306	2
0	528000000	353	2
3	470000003	378	3
2	602000002	469	3
1	505000001	487	3
0	529000000	541	2
3	471000003	376	2
1	506000001	333	2
0	530000000	352	2
2	603000002	306	2
3	472000003	376	2
1	507000001	332	2
2	604000002	304	2
3	473000003	375	2
0	531000000	435	2
2	605000002	303	2
1	508000001	332	2
2	606000002	302	2
0	532000000	351	2
3	474000003	375	3
1	509000001	470	2
0	533000000	351	2
2	607000002	523	2
3	475000003	373	2
2	609000002	301	2
1	510000001	333	3
3	476000003	373	2
0	534000000	491	2
2	610000002	301	2
1	511000001	332	2
3	477000003	371	2
2	611000002	301	2
0	535000000	350	2
1	513000001	331	2
2	612000002	301	2
3	478000003	370	2
1	514000001	329	2
0	536000000	369	2
2	613000002	300	2
1	515000001	325	2
3	479000003	374	2
2	615000002	299	2
0	537000000	598	2
1	516000001	325	2
2	616000002	297	2
0	539000000	347	2
1	517000001	325	2
0	540000000	347	2
0	541000000	347	2
2	617000002	390	3
2	618000002	297	2
1	518000001	550	3
0	542000000	346	2
0	543000000	345	2
0	544000000	345	2
1	519000001	749	3
0	545000000	344	2
1	520000001	322	2
1	521000001	322	2
0	546000000	568	3
1	522000001	321	2
1	523000001	321	2
0	547000000	525	2
2	619000002	1335	3
1	524000001	320	2
2	620000002	297	2
0	548000000	664	2
2	621000002	403	3
2	622000002	295	2
0	549000000	343	3
2	623000002	294	2
0	550000000	341	2
2	624000002	294	2
1	525000001	637	3
0	551000000	338	2
1	526000001	319	2
0	552000000	338	2
2	625000002	294	3
1	527000001	317	2
0	553000000	338	2
0	554000000	336	2
2	626000002	417	3
1	528000001	330	2
2	627000002	293	2
1	529000001	317	2
2	628000002	293	2
0	555000000	438	3
2	629000002	292	2
0	556000000	335	2
1	530000001	359	3
2	630000002	309	2
1	531000001	315	2
0	557000000	334	2
2	631000002	291	2
1	532000001	315	2
2	632000002	289	2
2	633000002	288	2
1	533000001	317	3
0	558000000	361	3
1	534000001	314	2
2	634000002	290	3
0	559000000	333	2
1	535000001	314	2
2	635000002	287	2
0	560000000	333	2
1	536000001	313	2
0	561000000	332	2
1	537000001	312	2
2	636000002	311	3
3	480000003	709	3
0	562000000	332	2
1	538000001	311	2
2	637000002	468	2
1	539000001	309	2
0	563000000	330	2
1	540000001	308	2
3	481000003	367	3
0	564000000	330	2
1	541000001	308	2
0	565000000	329	2
1	542000001	307	2
0	566000000	357	3
0	567000000	326	2
0	568000000	325	2
3	482000003	730	3
1	543000001	606	3
0	569000000	324	2
3	483000003	365	2
1	544000001	306	2
0	570000000	323	2
3	484000003	364	2
1	545000001	306	2
0	571000000	321	2
3	485000003	364	2
1	546000001	305	2
0	572000000	320	2
3	486000003	363	2
1	548000001	305	2
0	573000000	320	2
3	487000003	363	2
1	549000001	305	2
0	574000000	320	2
3	488000003	362	2
0	575000000	318	2
2	638000002	1265	3
1	550000001	369	2
3	490000003	361	2
2	639000002	282	2
1	551000001	302	2
2	640000002	281	2
3	491000003	360	2
1	552000001	301	2
2	641000002	280	2
1	554000001	300	2
0	576000000	513	3
2	642000002	280	2
1	555000001	300	2
2	643000002	281	3
1	556000001	300	2
2	644000002	278	2
0	577000000	399	3
2	645000002	299	2
3	492000003	561	3
0	578000000	361	2
3	493000003	358	2
2	646000002	505	2
0	579000000	315	2
3	495000003	357	2
2	647000002	278	2
0	580000000	315	2
3	496000003	356	2
2	648000002	371	3
3	497000003	356	2
2	649000002	277	2
3	498000003	355	2
2	650000002	274	2
3	499000003	354	2
0	581000000	437	3
2	651000002	300	3
2	652000002	274	2
2	653000002	273	2
3	500000003	499	3
2	654000002	273	2
3	501000003	351	2
2	655000002	273	2
2	656000002	386	2
3	502000003	507	3
1	557000001	1264	3
2	657000002	272	2
3	503000003	351	2
1	558000001	299	2
2	658000002	272	2
0	582000000	633	3
3	504000003	351	2
2	659000002	272	2
3	505000003	350	2
0	583000000	314	2
2	661000002	268	2
2	662000002	268	2
3	506000003	350	2
0	584000000	313	2
0	585000000	311	2
3	507000003	463	2
2	663000002	287	3
0	586000000	357	2
2	666000002	267	2
3	508000003	349	2
2	667000002	267	2
0	587000000	308	2
3	509000003	348	2
2	668000002	266	2
0	588000000	308	2
3	510000003	348	2
2	669000002	265	2
0	589000000	308	2
3	511000003	350	3
2	670000002	459	3
3	512000003	347	2
2	671000002	265	2
0	590000000	544	3
2	672000002	264	2
0	591000000	307	2
3	513000003	347	2
0	592000000	306	2
1	559000001	610	3
2	673000002	500	3
3	514000003	376	3
0	593000000	323	2
1	560000001	299	2
2	674000002	263	2
3	516000003	343	2
2	675000002	263	2
1	562000001	298	2
3	517000003	342	2
2	676000002	263	2
1	563000001	298	2
3	518000003	342	2
2	677000002	260	2
1	564000001	297	2
0	594000000	568	3
2	678000002	259	2
3	519000003	342	2
2	679000002	258	2
1	565000001	297	2
3	520000003	340	2
1	567000001	296	2
3	522000003	340	2
2	680000002	301	3
1	568000001	296	2
2	681000002	258	3
3	523000003	377	2
1	569000001	298	2
0	595000000	820	3
1	570000001	295	2
3	524000003	339	2
0	596000000	305	2
0	597000000	335	2
3	525000003	339	3
2	682000002	526	3
0	598000000	305	2
1	571000001	318	3
2	685000002	256	2
3	526000003	338	2
0	599000000	303	2
2	686000002	255	2
0	600000000	303	2
2	687000002	255	2
3	527000003	340	3
0	601000000	303	2
2	688000002	281	2
3	528000003	338	2
2	689000002	252	2
2	690000002	252	2
0	602000000	473	3
3	529000003	347	2
2	692000002	251	2
2	693000002	251	2
3	530000003	337	2
0	603000000	307	3
2	694000002	251	2
3	531000003	336	2
2	695000002	252	2
0	604000000	301	2
3	532000003	336	2
0	605000000	300	2
2	696000002	265	3
3	533000003	335	2
0	606000000	300	2
2	697000002	250	2
3	534000003	334	2
0	607000000	298	2
2	698000002	251	2
3	535000003	334	2
2	699000002	249	2
0	608000000	297	2
2	700000002	249	2
3	536000003	334	2
0	609000000	297	2
2	701000002	249	2
3	538000003	333	2
0	610000000	296	2
2	702000002	249	2
1	572000001	1006	3
0	611000000	296	2
2	703000002	248	2
3	539000003	333	2
1	573000001	295	2
2	704000002	248	2
1	574000001	294	2
2	705000002	247	2
2	706000002	246	2
1	576000001	291	2
3	540000003	365	3
2	707000002	245	2
1	577000001	290	2
3	541000003	331	2
2	708000002	245	2
1	578000001	290	2
0	612000000	381	3
3	542000003	330	2
1	579000001	290	2
0	614000000	295	2
3	543000003	330	2
1	580000001	290	2
2	709000002	360	3
2	710000002	243	2
3	544000003	331	3
3	545000003	329	2
1	581000001	291	3
3	546000003	329	2
2	711000002	431	3
1	582000001	288	2
3	547000003	328	2
1	583000001	288	2
2	712000002	275	3
0	615000000	600	3
3	548000003	327	2
2	713000002	241	2
1	584000001	295	3
2	714000002	241	2
3	549000003	327	2
2	716000002	241	2
0	616000000	371	3
3	550000003	327	2
1	585000001	288	3
2	717000002	240	2
0	617000000	294	2
3	551000003	326	2
2	718000002	240	2
3	552000003	326	2
2	719000002	239	2
1	586000001	408	2
2	720000002	239	2
3	553000003	325	2
1	587000001	286	2
3	554000003	325	2
2	721000002	244	2
0	618000000	850	3
1	588000001	286	2
2	722000002	236	2
1	589000001	285	2
0	620000000	291	2
3	555000003	440	2
2	723000002	267	3
1	590000001	285	2
0	621000000	291	2
2	724000002	235	2
3	556000003	325	2
1	591000001	283	2
2	725000002	235	2
3	557000003	325	2
1	592000001	283	2
2	726000002	235	2
3	558000003	324	2
0	622000000	421	3
2	727000002	234	2
3	559000003	322	2
0	623000000	291	2
2	728000002	234	2
1	593000001	425	3
0	624000000	291	2
2	729000002	233	2
1	594000001	283	2
3	560000003	323	3
0	625000000	290	2
2	730000002	232	2
1	595000001	283	2
3	561000003	332	2
1	596000001	379	2
0	626000000	312	3
3	562000003	322	2
1	597000001	280	2
0	627000000	289	2
3	563000003	321	2
3	564000003	320	2
0	628000000	597	2
3	565000003	318	2
0	629000000	289	2
3	566000003	317	2
0	630000000	288	2
3	567000003	317	2
0	631000000	286	2
3	568000003	317	2
0	632000000	286	2
3	569000003	317	2
0	633000000	285	2
3	570000003	317	2
0	635000000	284	2
1	598000001	1088	3
3	571000003	316	2
0	636000000	289	3
1	600000001	278	2
3	572000003	315	2
0	637000000	284	2
1	601000001	277	2
3	573000003	312	2
0	639000000	283	2
1	602000001	278	2
3	575000003	311	2
1	603000001	276	2
3	576000003	310	2
0	640000000	320	3
1	604000001	276	2
0	641000000	281	2
1	605000001	275	2
3	577000003	519	3
3	580000003	306	2
3	582000003	336	3
0	642000000	554	3
3	583000003	305	2
0	643000000	279	2
1	606000001	914	3
1	607000001	382	2
1	608000001	273	2
0	644000000	478	3
1	609000001	273	2
3	584000003	368	3
0	645000000	279	2
1	611000001	272	2
1	612000001	272	2
0	647000000	278	2
3	585000003	478	2
0	648000000	277	2
1	613000001	366	2
3	587000003	303	2
0	649000000	276	2
3	588000003	302	2
1	614000001	339	2
0	651000000	276	2
1	615000001	270	2
0	652000000	276	2
1	616000001	268	2
0	653000000	276	2
3	589000003	303	3
0	654000000	288	3
3	591000003	301	2
0	655000000	276	2
1	617000001	543	3
0	656000000	275	2
1	618000001	267	2
3	592000003	586	2
0	657000000	275	2
3	594000003	299	2
1	619000001	278	3
0	658000000	274	2
3	595000003	298	2
0	659000000	274	2
3	596000003	298	2
1	620000001	294	3
2	731000002	1316	3
0	661000000	273	2
1	621000001	265	2
3	597000003	298	2
2	732000002	231	2
0	662000000	273	2
1	622000001	265	2
3	598000003	297	2
0	663000000	273	2
2	733000002	366	2
3	599000003	297	2
0	664000000	273	2
2	734000002	231	2
1	623000001	291	3
3	600000003	296	2
0	665000000	273	2
1	624000001	263	2
2	736000002	310	3
3	601000003	296	2
0	666000000	272	2
1	625000001	262	2
2	737000002	230	2
0	667000000	272	2
2	738000002	230	2
1	626000001	262	2
0	668000000	271	2
2	739000002	229	2
3	602000003	300	3
0	669000000	270	2
2	740000002	230	3
0	670000000	269	2
2	741000002	229	2
3	603000003	328	3
2	742000002	229	2
0	671000000	269	2
3	604000003	294	2
2	743000002	229	2
0	672000000	269	2
2	744000002	229	2
3	605000003	290	2
1	627000001	685	3
2	745000002	229	2
0	673000000	283	2
3	607000003	289	2
1	628000001	261	2
2	746000002	228	2
0	674000000	269	2
0	675000000	268	2
1	629000001	369	3
3	609000003	289	3
1	630000001	260	2
2	747000002	347	3
0	676000000	303	3
1	631000001	259	2
2	748000002	228	2
0	677000000	266	2
2	749000002	227	2
1	632000001	259	2
0	678000000	266	2
1	633000001	259	2
0	679000000	265	2
3	610000003	469	3
1	634000001	259	2
1	635000001	258	2
0	680000000	265	2
3	611000003	287	2
1	636000001	257	2
0	681000000	264	2
1	637000001	257	2
3	612000003	295	2
0	682000000	264	2
1	638000001	257	2
3	613000003	286	2
0	683000000	264	2
3	614000003	286	2
1	639000001	255	2
2	750000002	830	3
0	684000000	263	2
3	615000003	286	2
1	640000001	254	2
2	751000002	226	2
3	616000003	285	2
1	641000001	254	2
0	685000000	364	2
1	642000001	254	2
3	617000003	285	2
0	686000000	262	2
1	643000001	254	2
3	618000003	283	2
2	752000002	431	3
1	644000001	253	2
3	619000003	282	2
1	645000001	252	2
0	687000000	492	3
2	754000002	228	3
0	688000000	261	2
2	755000002	224	2
0	689000000	260	2
2	756000002	225	2
1	646000001	335	3
1	647000001	252	2
0	690000000	303	2
2	757000002	223	2
1	648000001	251	2
2	759000002	221	2
0	691000000	260	2
1	650000001	249	2
2	760000002	221	2
0	692000000	258	2
1	651000001	249	2
2	761000002	220	2
0	693000000	258	2
3	620000003	956	3
1	652000001	248	2
2	762000002	220	2
0	694000000	258	2
2	763000002	219	2
1	653000001	248	2
3	621000003	281	2
2	764000002	219	2
1	654000001	247	2
3	622000003	280	2
2	765000002	219	2
3	623000003	277	2
2	766000002	219	2
1	655000001	255	3
2	767000002	219	2
1	656000001	246	2
2	768000002	219	2
3	624000003	287	3
0	696000000	831	3
3	625000003	277	2
0	697000000	256	2
2	769000002	229	3
0	698000000	255	2
3	626000003	276	2
1	657000001	403	3
2	770000002	219	2
1	658000001	245	2
3	627000003	275	2
2	771000002	219	2
0	699000000	345	2
1	659000001	245	2
2	772000002	218	2
0	700000000	254	2
3	628000003	275	3
2	773000002	218	2
1	660000001	244	2
0	701000000	253	2
3	630000003	274	2
2	774000002	218	2
1	661000001	244	2
0	702000000	252	2
2	775000002	218	2
3	631000003	273	2
0	703000000	251	2
2	776000002	218	2
0	704000000	248	2
3	632000003	273	2
2	777000002	218	2
0	705000000	246	2
1	663000001	403	3
3	633000003	271	2
2	778000002	218	2
0	706000000	246	2
1	664000001	241	2
3	634000003	271	2
2	779000002	218	2
0	707000000	246	2
2	780000002	218	2
1	665000001	241	2
3	635000003	302	2
0	708000000	245	2
2	781000002	218	2
3	636000003	270	2
2	782000002	218	2
0	709000000	254	3
2	783000002	218	2
3	637000003	268	2
1	666000001	511	3
2	784000002	218	2
0	710000000	245	2
3	638000003	268	2
2	785000002	217	2
1	667000001	240	2
0	711000000	243	2
3	639000003	273	2
2	786000002	217	2
1	668000001	240	2
0	712000000	242	2
3	641000003	267	2
2	788000002	216	2
1	669000001	240	2
0	713000000	242	2
3	642000003	265	2
2	789000002	216	2
1	670000001	239	2
0	714000000	241	2
2	790000002	216	2
1	671000001	239	2
2	791000002	216	2
0	715000000	241	2
3	643000003	397	2
2	792000002	215	2
1	672000001	238	2
3	644000003	265	2
2	793000002	215	2
1	673000001	238	2
3	645000003	265	2
2	794000002	215	2
1	674000001	236	2
2	795000002	214	2
3	646000003	264	2
2	796000002	214	2
1	675000001	264	2
3	647000003	263	2
2	797000002	213	2
1	676000001	233	2
3	648000003	263	2
2	798000002	213	2
1	677000001	233	2
3	649000003	263	2
2	799000002	213	2
2	800000002	213	2
3	650000003	263	2
1	678000001	251	3
2	801000002	213	2
3	651000003	263	3
2	802000002	213	2
3	652000003	260	2
2	803000002	212	2
1	679000001	432	3
3	653000003	260	2
2	804000002	212	2
2	805000002	212	2
1	680000001	235	2
3	654000003	260	2
2	807000002	212	2
1	681000001	230	2
3	655000003	260	2
2	808000002	211	2
1	682000001	230	2
3	656000003	260	2
2	809000002	211	2
3	657000003	258	2
2	810000002	211	2
2	811000002	211	2
3	658000003	258	2
2	812000002	215	2
3	659000003	257	2
1	683000001	561	3
2	814000002	211	2
3	660000003	256	2
1	684000001	229	2
2	815000002	211	2
3	661000003	256	2
2	817000002	210	2
3	662000003	256	2
2	818000002	210	2
1	685000001	318	2
3	663000003	254	2
2	819000002	210	2
1	686000001	228	2
3	664000003	253	2
2	820000002	210	2
